Actor_ID,Actor_name
A000507,George Babluani
A000508,George Clooney
A000509,George Lopez
A000510,Georgie Henley
A000511,Georgina Chapman
A000512,Geraldine Chaplin
A000513,Gerard Butler
A000514,Geun-young Moon
A000515,Gi-su Kim
A000516,Giancarlo Giannini
A000517,Gideon Glick
A000518,Gilbert Melki
A000519,Gilles Cohen
A000520,Gillian Chung
A000521,Gina McKee
A000522,Gina Torres
A000523,Ginnifer Goodwin
A000524,Giovanna Mezzogiorno
A000525,Giovanni Ribisi
A000526,Giuseppe Andrews
A000527,Glenn Close
A000528,Golshifteh Farahani
A000529,Gonzalo Valenzuela
A000530,Gook-hwan Jeon
A000531,Goran Visnjic
A000532,Greg Germann
A000533,Greg Kinnear
A000534,Gregory Smith
A000535,Gretchen Mol
A000536,Gus Lewis
A000537,Gustavo Sánchez Parra
A000538,Gwyneth Paltrow
A000539,Géraldine Pailhas
A000540,Gérard Depardieu
A000541,Ha-kyun Shin
A000542,Ha-ryong Lim
A000543,Halle Berry
A000544,Hamza Abu-Aiaash
A000545,Hannah Bernall
A000546,Hannah Nicolas
A000547,Happy Mahaney
A000548,Harvey Keitel
A000549,Hayden Christensen
A000550,Hayden Panettiere
A000551,Heath Ledger
A000552,Heather Graham
A000553,Heather Locklear
A000554,Heather Simms
A000555,Hee-soon Park
A000556,Heike Makatsch
A000557,Helen Mirren
A000558,Helena Bonham Carter
A000559,Hermione Norris
A000560,Hilary Duff
A000561,Hippolyte Girardot
A000562,Hiroyuki Miyasako
A000563,Hiroyuki Sanada
A000564,Ho-bin Jeong
A000565,Holly Hunter
A000566,Honglei Sun
A000567,Hope Davis
A000568,Horatio Sanz
A000569,Hringur Ingvarsson
A000570,Hubert Koundé
A000571,Hugh Bonneville
A000572,Hugh Dancy
A000573,Hugo Weaving
A000574,Hunter Parrish
A000575,Hye-jeong Kang
A000576,Hye-su Kim
A000577,Hyeon-jun Shin
A000578,Hyeon-kyeong Lim
A000579,Hyun-Ah Sung
A000580,Iain Rea
A000581,Ian McDiarmid
A000582,Ian McKellen
A000583,Ian McNeice
A000584,Ice Cube
A000585,Idris Elba
A000586,Ingvar Eggert Sigurðsson
A000587,Ioan Gruffudd
A000588,Iranganie Serasinghe
A000589,Isaach De Bankolé
A000590,Isha Sharvani
A000591,Issei Ogata
A000592,Ivan Kokorin
A000593,Jack Black
A000594,Jack Davenport
A000595,Jack Guzman
A000596,Jack Kehler
A000597,Jack Klugman
A000598,Jack Thompson
A000599,Jackie Chan
A000600,Jacob Collier
A000601,Jacob Vargas
A000602,Jacqueline Kim
A000603,Jada Pinkett Smith
A000604,Jae Mamuyac
A000605,Jae-yeong Jeong
A000606,Jake Gyllenhaal
A000607,Jakob Cedergren
A000608,Jamel Debbouze
A000609,James D'Arcy
A000610,James Franco
A000611,James Gandolfini
A000612,James Greene
A000613,James Paxton
A000614,James Roday
A000615,Jamie Bell
A000616,Jamie Foxx
A000617,Jamie Kennedy
A000618,Jamie Sives
A000619,Jamie-Lynn Sigler
A000620,Jan Tríska
A000621,Jana Hrabetova
A000622,Jane Beard
A000623,Jane Fonda
A000624,Janet McTeer
A000625,Jared Harris
A000626,Jared Leto
A000627,Jason Barry
A000628,Jason Liebrecht
A000629,Jason Schwartzman
A000630,Jason Scott Lee
A000631,Jason Spevack
A000632,Jason Statham
A000633,Javed Jaffrey
A000634,Javier Cámara
A000635,Javier Gutiérrez
A000636,Jay Chou
A000637,Jay Gillespie
A000638,Jay Hernandez
A000639,Jay Mohr
A000640,Jay Rodan
A000641,Jean Dujardin
A000642,Jean Reno
A000643,Jean-Marc Barr
A000644,Jean-Pierre Darroussin
A000645,Jeanne Moreau
A000646,Jed Rees
A000647,Jeff Bridges
A000648,Jeff Daniels
A000649,Jeff Seymour
A000650,Jefferson Moore
A000651,Jeffrey Vincent Parise
A000652,Jemima Rooper
A000653,Jena Malone
A000654,Jenna Dewan
A000655,Jennifer Aniston
A000656,Jennifer Buckley
A000657,Jennifer Carpenter
A000658,Jennifer Connelly
A000659,Jennifer Garner
A000660,Jennifer Jason Leigh
A000661,Jennifer Lopez
A000662,Jennifer Love Hewitt
A000663,Jennifer Tilly
A000664,Jenny McCarthy
A000665,Jeremy Irons
A000666,Jeremy Madrona
A000667,Jeremy Renner
A000668,Jeremy Robson
A000669,Jeremy Swift
A000670,Jeroen Krabbé
A000671,Jesper Christensen
A000672,Jesse Bradford
A000673,Jesse Camacho
A000674,Jesse Eisenberg
A000675,Jesse James
A000676,Jesse L. Martin
A000677,Jessica Alba
A000678,Jessica Biel
A000679,Jet Li
A000680,Ji-tae Yu
A000681,Jianzhong Zhang
A000682,Jilon VanOver
A000683,Jim Belushi
A000684,Jim Broadbent
A000685,Jim Carrey
A000686,Jim Cummings
A000687,Jim Parsons
A000688,Jimmy Bennett
A000689,Jimmy Fallon
A000690,Jin Muraki
A000691,Jin Woo
A000692,Jin-young Jung
A000693,Jing Wu
A000694,Joan Allen
A000695,Joan Cusack
A000696,Joan Lunden
A000697,Joan Plowright
A000698,Joaquin Phoenix
A000699,Jocelyn Quivrin
A000700,Jodelle Ferland
A000701,Jodie Foster
A000702,Joe Mantegna
A000703,Joe Odagiri
A000704,Joe Pantoliano
A000705,Joel Edgerton
A000706,Johanna Gastdorf
A000707,John Abraham
A000708,John Apple
A000709,John Bedford Lloyd
A000710,John C. Reilly
A000711,John Corbett
A000712,John Cusack
A000713,John Fiedler
A000714,John G. Brennan
A000715,John Goodman
A000716,John Hawkes
A000717,John Hurt
A000718,John Jarratt
A000719,John Kathrein
A000720,John Leguizamo
A000721,John Lynch
A000722,John Robinson
A000723,John Simm
A000724,John Terry
A000725,John Travolta
A000726,John Warnaby
A000727,Johnny Depp
A000728,Johnny Knoxville
A000729,Jolene Blalock
A000730,Jon Abrahams
A000731,Jonah Bobo
A000732,Jonah Meyerson
A000733,Jonathan Bennett
A000734,Jonathan Jackson
A000735,Jonathan Pryce
A000736,Jonathan Rhys Meyers
A000737,Jonathan Safran Foer
A000738,Jonathan Velasquez
A000739,Jonathan Zaccaï
A000740,Jonny Lee Miller
A000741,Joon-Gi Lee
A000742,Jordan-Claire Green
A000743,Jordana Brewster
A000744,Jorge Milo
A000745,Joseph Bologna
A000746,Joseph Gordon-Levitt
A000747,Josh Hartnett
A000748,Josh Hutcherson
A000749,Josh Lucas
A000750,Joshua Jackson
A000751,José Garcia
A000752,José Mota
A000753,Joy Bryant
A000754,Juan Carlos Pardo Pardo
A000755,Juan Pablo Di Pace
A000756,Jude Akuwudike
A000757,Judi Dench
A000758,Judith Scott
A000759,Julia Jentsch
A000760,Julia Schacht
A000761,Julian Morris
A000762,Julianne Moore
A000763,Julie Delpy
A000764,Julie Fischer
A000765,Julie LeBreton
A000766,Julie Walters
A000767,Juliette Binoche
A000768,Julio Cesar Cedillo
A000769,Julio Oscar Mechoso
A000770,Jung-ah Yum
A000771,Jung-min Hwang
A000772,Junko Takeuchi
A000773,Justin Chambers
A000774,Justin Chatwin
A000775,Justin Long
A000776,Justin Rice
A000777,Justin Theroux
A000778,Justin Timberlake
A000779,Jérémie Renier
A000780,Jérémie Segard
A000781,Kader Khan
A000782,Kais Nashif
A000783,Kane Mason
A000784,Kang-ho Song
A000785,Kang-sheng Lee
A000786,Kaori Momoi
A000787,Karen Young
A000788,Karin Viard
A000789,Karina
A000790,Karl Jacob
A000791,Karl Urban
A000792,Kate Beahan
A000793,Kate Burton
A000794,Kate Greenhouse
A000795,Kate Hudson
A000796,Kate Nauta
A000797,Kate Walsh
A000798,Kate Winslet
A000799,Kath Soucie
A000800,Katherine Heigl
A000801,Katie Aselton
A000802,Katie Griffin
A000803,Katie Holmes
A000804,Katie Stuart
A000805,Katija Pevec
A000806,Kay Kay Menon
A000807,Kayvan Novak
A000808,Kazue Fukiishi
A000809,Keanu Reeves
A000810,Keeley Hawes
A000811,Keira Knightley
A000812,Keith David
A000813,Kelci Stephenson
A000814,Kellita Smith
A000815,Kelly Brook
A000816,Kelly K.C. Quann
A000817,Kelly Macdonald
A000818,Kelly Manison
A000819,Kelly Preston
A000820,Kelly Reilly
A000821,Ken Nakamoto
A000822,Ken Russell
A000823,Ken Takakura
A000824,Kenneth Nkosi
A000825,Kenneth Wayne Bradley
A000826,Keon-hyeong Park
A000827,Keri Russell
A000828,Kerry Condon
A000829,Kestie Morassi
A000830,Kevin Bacon
A000831,Kevin Corrigan
A000832,Kevin Costner
A000833,Kevin Gage
A000834,Kevin James
A000835,Kevin Pollak
A000836,Kevin Spacey
A000837,Kharl Anton Leigh
A000838,Ki-yong Lee
A000839,Kiefer Sutherland
A000840,Kiichi Nakai
A000841,Kimberly Elise
